contbr_st,contb_receipt_amt
AA,9060.0
AB,512.0
AE,25350.73
AK,174379.37
AL,581660.02
AP,24597.62
AR,247576.21
AS,1500.0
AZ,1722073.28
CA,18425727.46
CO,1794351.66
CT,2356914.75
DC,2389897.21
DE,172765.42
FF,86000.0
FL,7039765.52
FM,200.0
GA,2736739.3
GU,10432.2
HI,270223.08
IA,460961.96
ID,476907.07
IL,6336680.38
IN,711548.95
KS,381939.97
KY,379698.82
LA,1228696.18
MA,5360975.12
MD,2761473.91
ME,579376.71
MI,2157412.35
MN,2357764.47
MO,1457847.32
MP,2175.0
MS,215697.35
MT,196421.08
NC,1303708.86
ND,58380.98
NE,259514.02
NH,641663.4
NJ,2414745.44
NM,491558.84
NV,960932.26
NY,11123389.31
OH,1724030.53
OK,969090.07
ON,250.0
OR,748478.57
PA,3095104.16
PR,265565.2
RI,334481.76
SC,639483.58
SD,118790.33
TN,1294509.63
TX,17368049.11
UK,2500.0
UT,2621703.7
VA,3068321.96
VI,48912.0
VT,436556.23
WA,2119783.35
WI,691136.09
WV,305761.34
WY,307490.67
XX,147952.0
ZZ,12926.31
